Date,Netherlands,Groningen_PV,Friesland_PV,Drenthe_PV,Overijssel_PV,Flevoland_PV,Gelderland_PV,Utrecht_PV,Noord-Holland_PV,Zuid-Holland_PV,Zeeland_PV,Noord-Brabant_PV,Limburg_PV,Amsterdam,Den Haag,Rotterdam,Utrecht
06/30/2008,288.164251207729,280.140186915888,311.720698254364,282.366589327146,278.372093023256,240.283400809717,293.176470588235,301.298701298701,314.520547945205,277.488151658768,290.281329923274,299.029126213592,230.192307692308,361.805555555556,290.126582278481,282.245430809399,322.960725075529
09/30/2008,291.304347826087,283.177570093458,313.216957605985,284.686774941995,280.93023255814,241.7004048583,294.823529411765,308.831168831169,318.630136986301,280.568720379147,292.838874680307,302.427184466019,231.730769230769,364.583333333333,293.164556962025,286.422976501306,330.815709969788
12/31/2008,289.130434782609,282.476635514019,313.216957605985,282.830626450116,277.209302325581,241.093117408907,293.647058823529,305.974025974026,315.068493150685,279.14691943128,291.048593350384,299.514563106796,230.576923076923,354.166666666667,293.670886075949,284.856396866841,328.09667673716
03/31/2009,287.19806763285,274.065420560748,306.234413965087,283.758700696056,277.906976744186,237.044534412955,289.411764705882,304.155844155844,315.068493150685,276.303317535545,292.583120204604,299.029126213592,227.5,347.222222222222,289.367088607595,280.939947780679,327.190332326284
06/30/2009,279.951690821256,269.158878504673,298.753117206982,275.174013921114,270.93023255814,234.008097165992,284.235294117647,297.142857142857,303.013698630137,269.668246445498,285.42199488491,292.47572815534,220.961538461538,337.847222222222,280,276.762402088773,316.31419939577
09/30/2009,276.086956521739,271.028037383178,297.256857855362,271.69373549884,268.372093023256,230.364372469636,276.705882352941,290.909090909091,300,266.824644549763,291.304347826087,287.378640776699,218.269230769231,333.680555555556,283.291139240506,279.634464751958,316.012084592145
12/31/2009,273.671497584541,267.056074766355,296.009975062344,269.837587006961,266.511627906977,228.137651821862,277.411764705882,289.090909090909,297.808219178082,264.218009478673,281.329923273657,282.766990291262,217.5,338.541666666667,278.987341772152,275.456919060052,313.293051359517
03/31/2010,273.429951690821,267.523364485981,299.501246882793,270.069605568445,264.883720930233,226.720647773279,274.588235294118,291.688311688312,294.246575342466,263.507109004739,283.887468030691,286.165048543689,215.192307692308,335.416666666667,277.974683544304,277.545691906005,312.084592145015
06/30/2010,273.671497584541,265.654205607477,298.503740648379,271.22969837587,267.209302325581,227.53036437247,276.941176470588,287.792207792208,296.986301369863,263.981042654028,281.074168797954,284.708737864078,216.538461538462,341.319444444444,278.73417721519,278.328981723238,309.667673716012
09/30/2010,273.913043478261,270.093457943925,299.251870324189,270.533642691415,266.511627906977,229.352226720648,278.352941176471,289.87012987013,295.616438356164,264.218009478673,282.864450127877,283.009708737864,218.076923076923,337.5,279.240506329114,277.806788511749,313.897280966767
12/31/2010,270.772946859903,264.719626168224,294.26433915212,265.661252900232,264.186046511628,221.255060728745,274.352941176471,285.194805194805,294.794520547945,262.085308056872,279.283887468031,280.339805825243,213.846153846154,336.805555555556,279.746835443038,271.018276762402,311.480362537764
03/31/2011,269.323671497585,265.654205607477,288.528678304239,264.269141531323,259.302325581395,222.064777327935,272.941176470588,283.636363636364,294.794520547945,261.611374407583,279.028132992327,276.456310679612,214.230769230769,342.708333333333,275.443037974684,274.67362924282,317.522658610272
06/30/2011,268.115942028985,259.579439252336,286.783042394015,263.805104408353,260,221.255060728745,268.470588235294,284.155844155844,293.698630136986,260.189573459716,280.306905370844,277.427184466019,212.307692307692,338.194444444444,275.443037974684,270.757180156658,309.365558912387
09/30/2011,266.183574879227,255.841121495327,286.284289276808,261.020881670534,259.06976744186,217.408906882591,265.647058823529,281.038961038961,292.328767123288,259.241706161137,279.795396419437,274.271844660194,210.384615384615,337.847222222222,275.189873417722,278.851174934726,314.199395770393
12/31/2011,261.594202898551,253.504672897196,278.5536159601,259.628770301624,253.488372093023,219.838056680162,261.176470588235,276.623376623377,285.753424657534,254.265402843602,276.726342710997,269.660194174757,207.884615384615,328.472222222222,270.126582278481,272.584856396867,308.459214501511
03/31/2012,258.212560386473,249.065420560748,274.31421446384,258.236658932715,253.953488372093,214.574898785425,258.352941176471,274.545454545455,284.109589041096,250,270.076726342711,264.320388349515,204.038461538462,329.166666666667,266.835443037975,267.10182767624,306.646525679758
06/30/2012,253.381642512077,246.261682242991,273.316708229426,247.563805104408,248.837209302326,210.526315789474,253.411764705882,268.571428571429,275.342465753425,247.156398104265,265.217391304348,259.95145631068,201.153846153846,321.180555555556,258.73417721519,262.66318537859,299.093655589124
09/30/2012,243.236714975845,237.616822429907,261.845386533666,243.155452436195,237.906976744186,205.060728744939,242.117647058824,254.285714285714,267.123287671233,236.729857819905,260.102301790281,248.78640776699,194.230769230769,312.5,250.126582278481,257.441253263708,282.779456193353
12/31/2012,241.787439613527,235.747663551402,257.356608478803,239.443155452436,238.604651162791,203.846153846154,241.176470588235,254.025974025974,264.383561643836,234.36018957346,262.404092071611,246.359223300971,193.653846153846,307.638888888889,245.316455696203,255.09138381201,282.779456193353
03/31/2013,236.231884057971,234.579439252336,252.618453865337,231.322505800464,233.023255813954,200.607287449393,235.764705882353,248.571428571429,256.986301369863,229.620853080569,259.079283887468,239.805825242718,189.423076923077,298.263888888889,236.708860759494,246.475195822454,278.247734138973
06/30/2013,231.400966183575,228.271028037383,243.391521197007,229.002320185615,226.279069767442,196.558704453441,230.117647058824,244.935064935065,251.780821917808,225.592417061611,255.754475703325,235.679611650485,184.615384615385,303.472222222222,235.949367088608,241.514360313316,273.111782477341
09/30/2013,232.125603864734,228.271028037383,246.134663341646,226.450116009281,229.53488372093,197.368421052632,231.294117647059,244.415584415584,253.424657534247,226.777251184834,257.800511508951,235.436893203883,186.153846153846,302.430555555556,238.481012658228,249.086161879896,277.341389728097
12/31/2013,231.400966183575,225.233644859813,247.381546134663,229.002320185615,227.674418604651,197.165991902834,228.705882352941,244.155844155844,251.506849315068,227.251184834123,256.521739130435,234.708737864078,185.769230769231,299.652777777778,239.240506329114,247.258485639687,277.945619335347
03/31/2014,232.608695652174,225.233644859813,244.139650872818,229.002320185615,230.697674418605,198.380566801619,229.647058823529,246.753246753247,256.164383561644,227.014218009479,255.498721227621,234.95145631068,187.115384615385,305.902777777778,240.759493670886,246.21409921671,276.435045317221
06/30/2014,234.057971014493,228.03738317757,245.386533665835,227.37819025522,230.46511627907,198.785425101215,230.588235294118,248.831168831169,257.534246575342,229.620853080569,254.987212276215,236.893203883495,188.269230769231,314.236111111111,239.746835443038,251.174934725849,281.570996978852
09/30/2014,236.231884057971,228.03738317757,244.139650872818,230.162412993039,231.162790697674,198.987854251012,231.529411764706,251.948051948052,263.013698630137,231.516587677725,254.475703324808,239.077669902913,190,321.180555555556,245.316455696203,251.697127937337,286.102719033233
12/31/2014,236.473429951691,228.271028037383,244.389027431421,227.146171693736,230.232558139535,202.631578947368,231.529411764706,252.727272727273,264.109589041096,231.990521327014,253.964194373401,238.349514563107,189.615384615385,324.305555555556,248.101265822785,251.174934725849,288.821752265861
03/31/2015,238.164251207729,231.07476635514,247.13216957606,231.554524361949,231.162790697674,199.19028340081,233.647058823529,256.623376623377,266.849315068493,233.175355450237,256.010230179028,239.805825242718,190,336.458333333333,246.835443037975,255.874673629243,295.468277945619
06/30/2015,240.096618357488,234.11214953271,248.129675810474,230.162412993039,232.093023255814,201.214574898785,233.411764705882,256.883116883117,271.506849315068,235.308056872038,258.567774936061,241.504854368932,191.346153846154,339.583333333333,250.126582278481,259.530026109661,296.374622356495
09/30/2015,243.236714975845,234.345794392523,249.875311720698,232.946635730858,232.790697674419,204.048582995951,236.705882352941,261.558441558442,277.534246575342,238.625592417062,252.685421994885,244.174757281553,194.423076923077,352.777777777778,255.189873417721,264.229765013055,306.948640483384
12/31/2015,244.685990338164,235.046728971963,252.369077306733,233.410672853828,234.418604651163,205.060728744939,237.411764705882,263.636363636364,280.27397260274,240.758293838863,255.754475703325,245.145631067961,193.653846153846,360.069444444444,260.506329113924,264.751958224543,309.667673716012
03/31/2016,247.826086956522,237.383177570093,254.613466334165,232.250580046404,238.837209302326,207.287449392713,239.764705882353,268.571428571429,285.753424657534,242.890995260663,258.823529411765,248.300970873786,195.961538461538,372.569444444444,264.050632911392,268.668407310705,318.126888217523
06/30/2016,250.48309178744,239.485981308411,254.364089775561,235.266821345708,239.53488372093,208.502024291498,240.470588235294,271.688311688312,291.506849315068,246.445497630332,260.613810741688,249.514563106796,198.653846153846,389.583333333333,270.126582278481,274.151436031332,325.377643504532
09/30/2016,256.763285024155,250,262.84289276808,239.211136890951,243.255813953488,214.372469635628,246.117647058823,279.480519480519,302.465753424658,252.132701421801,263.427109974425,254.126213592233,202.307692307692,403.125,276.455696202532,284.073107049608,337.160120845921
